words,喜び,信頼,恐怖,驚愕,悲しみ,嫌悪,怒り,期待
として,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
へ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ず,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
なり,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
せ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
なかっ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
う,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
しかし,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
でき,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
発表,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ら,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
せる,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
なら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
に対して,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
考え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
攻撃,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
知ら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
結果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
ので,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
獲得,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
決定,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
影響,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
一方,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ものの,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
得,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
事件,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
初めて,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
高い,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
最も,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
与え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
女,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
続け,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
母,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
活躍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
発見,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
しまっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
成功,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
性格,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
言わ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
認め,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
入り,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
大きく,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
評価,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
高,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
結婚,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非常,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
心,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
重要,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
強い,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0
言葉,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
人気,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
連続,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
挙げ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
なけれ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
果たし,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
人々,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
経験,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
効果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
死亡,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
可能性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
選出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
作戦,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
発展,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
最高,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
出し,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
条件,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
超,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
批判,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
にとって,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0
求め,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
死,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0
復帰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
選ば,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
達成,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ファン,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
愛,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
明らか,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
失敗,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
位,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
しよ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
迎え,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
語っ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
増加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
残し,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
高く,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
強化,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
実現,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
指摘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
見せ,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
あまり,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
きっかけ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
強く,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0
示し,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
決め,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
伝え,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
発言,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
続く,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
集め,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
昇格,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
成長,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
支持,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
現れ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
向上,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
役割,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
殺害,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0
得る,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
最終的,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
貢献,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
進め,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
上げ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
知っ,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
良い,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
